"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6039","Verify test case failed","chromium","Mon Dec 01 02:18:06 UTC 2025","failed","Mon Dec 01 02:18:12 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","3868","Verify login successfully","chromium","Mon Dec 01 02:18:13 UTC 2025","passed","Mon Dec 01 02:18:17 UTC 2025","","loginWithFixture.spec.ts","",""
"","2144","Guest user can view login page","chromium","Mon Dec 01 02:17:47 UTC 2025","passed","Mon Dec 01 02:17:49 UTC 2025","","auth-example.spec.ts","",""
"","947","Verify user logged in","chromium","Mon Dec 01 02:17:51 UTC 2025","passed","Mon Dec 01 02:17:52 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","1129","User can access home page","chromium","Mon Dec 01 02:17:49 UTC 2025","passed","Mon Dec 01 02:17:50 UTC 2025","User role tests","auth-example.spec.ts","",""
"","1012","User can interact with authenticated page","chromium","Mon Dec 01 02:17:50 UTC 2025","passed","Mon Dec 01 02:17:51 UTC 2025","User role tests","auth-example.spec.ts","",""
