"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6352","Verify test case failed","chromium","Thu Nov 20 03:58:01 UTC 2025","failed","Thu Nov 20 03:58:07 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","1514","Verify user logged in","chromium","Thu Nov 20 03:57:45 UTC 2025","passed","Thu Nov 20 03:57:46 UTC 2025","Home page tests with user authentication","homeWithFixture.spec.ts","",""
"","1287","User can interact with authenticated page","chromium","Thu Nov 20 03:57:43 UTC 2025","passed","Thu Nov 20 03:57:45 UTC 2025","User role tests","auth-example.spec.ts","",""
"","1112","User can access home page","chromium","Thu Nov 20 03:57:42 UTC 2025","passed","Thu Nov 20 03:57:43 UTC 2025","User role tests","auth-example.spec.ts","",""
"","1244","Guest user can view login page","chromium","Thu Nov 20 03:57:41 UTC 2025","passed","Thu Nov 20 03:57:42 UTC 2025","","auth-example.spec.ts","",""
"","2591","Verify login successfully","chromium","Thu Nov 20 03:58:08 UTC 2025","passed","Thu Nov 20 03:58:10 UTC 2025","","loginWithFixture.spec.ts","",""
